1000   0.7   -0.7
0   0.486375   -0.951515   0.0298281
1   0.97275   0.442581   0.135336
2   1.42873   0.12569   0.0927829
3   0.486375   -0.844208   0.0548688
4   1.21594   -0.229978   0.360666
5   1.21594   -0.442175   0.124727
6   0.97275   0.308171   0.236099
7   1.21594   0.285763   0.095851
8   0.486375   -0.905008   0.26184
9   0.97275   -0.188257   0.565669
10   1.21594   0.17443   0.437094
11   0.486375   -0.141279   0.195232
12   1.21594   0.118902   0.452538
13   0.0607968   -1.14364   0.0882431
14   0.486375   -0.81383   0.0613554
15   1.21594   0.320014   0.332264
16   1.45153   -0.00639468   0.00212335
17   1.21594   0.372794   0.2939
18   1.21594   0.460243   0.100403
19   0.97275   0.5924   0.32321
20   0.97275   -0.641631   0.198087
21   1.21594   0.0603203   0.459173
22   0.486375   -0.816011   0.499103
23   1.21594   0.319013   0.351773
24   0.486375   -0.182131   0.939051
25   0.486375   0.924561   0.150969
26   1.39833   -0.146734   0.16836
27   0.97275   -0.653372   0.168654
28   0.97275   -0.529701   0.296327
29   0.486375   0.343881   0.88164
30   0.97275   0.660991   0.123437
31   0.97275   -0.147088   0.265687
32   1.42873   -0.119451   0.0708197
33   0.486375   0.79069   0.0487441
34   0.97275   -0.474149   0.162549
35   1.42873   -0.0461906   0.129803
36   0.97275   0.489879   0.461043
37   1.33753   0.00391753   0.327812
38   1.33753   -0.29775   0.147553
39   0.486375   -0.0389491   0.955279
40   1.39833   0.213475   0.0744628
41   0.486375   0.925559   0.104889
42   0.97275   0.615498   0.193051
43   0.486375   -0.420648   0.85881
44   0.97275   0.663226   0.0845063
45   1.33753   -0.241995   0.228018
46   0.97275   0.674833   0.000250308
47   0.97275   -0.041694   0.0926257
48   0.97275   -0.645066   0.197794
49   1.21594   -0.452281   0.0712893
50   0.486375   -0.869975   0.247608
51   1.33753   0.332555   0.00351714
52   0.97275   -0.442594   0.508685
53   0.97275   0.672755   0.0361662
54   0.97275   0.518685   0.431672
55   0.486375   -0.110952   0.942817
56   1.21594   -0.46029   0.113495
57   1.33753   0.307021   0.0920119
58   0.486375   -0.803066   0.281087
59   1.33753   0.319573   0.0789963
60   1.21594   0.0303613   0.0717452
61   0.97275   -0.251975   0.00775693
62   0.486375   0.811244   0.271393
63   0.486375   -0.410594   0.861439
64   1.21594   -0.00692971   0.474863
65   1.21594   -0.424441   0.209523
66   0.243187   -0.348407   0.646471
67   0.486375   -0.944616   0.150603
68   0.486375   0.955496   0.044886
69   0.121594   1.12192   0.00640152
70   1.39833   -0.222956   0.0512493
71   1.21594   0.319398   0.351468
72   0.486375   0.33072   0.8086
73   0.0303983   -0.702777   0.920742
74   0.486375   0.229327   0.910259
75   1.21594   0.452623   0.143763
76   0.486375   -0.939817   0.00247233
77   1.21594   0.461815   0.110797
78   0.97275   -0.515826   0.371068
79   1.21594   0.395446   0.26271
80   1.33753   0.135998   0.301923
81   1.21594   0.0957456   0.452612
82   0.0607968   -0.869637   0.0844881
83   1.39833   0.220473   0.0333262
84   0.243187   -1.02692   0.297251
85   0.97275   -0.606375   0.125501
86   0.486375   -0.0710486   0.661749
87   0.243187   -0.246818   1.01986
88   1.33753   0.123033   0.263184
89   0.486375   -0.813266   0.165279
90   0.97275   0.283187   0.601847
91   0.0607968   -0.902041   0.709268
92   0.97275   -0.184749   0.267056
93   0.97275   0.639944   0.214181
94   1.33753   -0.145702   0.29803
95   1.33753   0.109098   0.273796
96   0.97275   0.622546   0.0505521
97   0.97275   -0.220076   0.629573
98   1.39833   0.204675   0.0502388
99   1.21594   -0.0466722   0.268951
100   1.33753   -0.233961   0.195455
101   1.21594   0.1395   0.017533
102   0.97275   0.626727   0.250231
103   1.21594   0.236983   0.411248
104   1.33753   -0.0861663   0.124255
105   0.97275   -0.643815   0.0220356
106   0.486375   0.945032   0.0862631
107   0.97275   0.124795   0.663191
108   1.21594   -0.404956   0.225003
109   0.97275   -0.106479   0.584789
110   1.21594   -0.13567   0.453751
111   1.21594   0.376086   0.227369
112   0.97275   0.430702   0.519059
113   1.33753   -0.26008   0.0317953
114   0.486375   0.0479571   0.949993
115   0.97275   0.286786   0.242248
116   0.97275   0.474549   0.479794
117   1.33753   0.219591   0.231917
118   1.39833   0.0502213   0.218387
119   0.486375   -0.168024   0.933742
120   1.21594   0.299599   0.332153
121   0.97275   0.356894   0.217636
122   0.486375   0.937397   0.0178028
123   0.97275   -0.0530748   0.610759
124   1.21594   -0.290205   0.341279
125   0.486375   -0.953831   0.00367129
126   1.33753   0.128255   0.0836908
127   0.97275   0.352733   0.564914
128   0.243187   0.95977   0.451628
129   0.97275   -0.215616   0.000902932
130   0.97275   0.662443   0.12871
131   1.21594   0.340191   0.331056
