30000   1   0
0   0.861933   0.449697   0.464327
1   0.217886   0.932283   0.482261
2   0.781828   0.445635   0.764091
3   0.461407   0.336874   0.994951
4   0.903588   -0.393105   0.689848
5   1.36179   0.0097446   0.109927
6   0.701722   -0.0658951   0.215995
7   0.820278   -0.136234   0.864874
8   1.17595   0.399308   0.419221
9   1.00933   0.124754   0.680197
10   1.04778   0.105918   0.671534
11   0.932426   0.0823795   0.716007
12   1.18876   -0.143075   0.522299
13   0.804257   0.0280132   0.748493
14   1.02855   -0.538362   0.25753
15   1.09264   -0.0424543   0.328164
16   0.471019   0.68028   0.800858
17   0.99651   0.232989   0.700757
18   0.900384   -0.723758   0.157611
19   0.38771   0.604463   0.174892
20   0.73056   -0.235822   0.659496
21   0.845912   0.495156   0.544335
22   0.73056   -0.789419   0.38278
23   0.794645   0.159998   0.316458
24   0.567146   0.498612   0.337404
25   0.435773   0.689361   0.17065
26   0.810666   -0.370819   0.800099
27   1.36179   0.215375   0.229066
28   0.820278   -0.0194418   0.319175
29   0.99651   -0.085543   0.723607
30   1.07021   0.0186788   0.230131
31   1.35218   0.168836   0.307572
32   0.797849   0.0959842   0.721904
33   0.948447   -0.465043   0.0511735
34   1.34256   0.216599   0.267211
35   0.63123   0.672015   0.455094
36   1.04457   -0.409541   0.57059
37   0.804257   0.714758   0.480878
38   0.714539   0.819071   0.461773
39   0.958059   -0.427917   0.496436
40   0.769011   -0.563933   0.69662
41   0.506266   0.181517   0.982365
42   1.36499   0.00916769   0.356602
43   1.24323   -0.118535   0.494732
44   0.688906   -0.183008   0.929401
45   0.897179   0.0899998   0.291615
46   0.419752   -0.741458   0.0673492
47   0.893975   0.354868   0.707783
48   0.964468   -0.123849   0.403691
49   0.733765   0.216568   0.814373
50   1.08943   0.302674   0.43664
51   1.23042   -0.45406   0.252937
52   0.807461   -0.112251   0.449074
53   1.28489   0.15874   0.400836
54   0.73056   0.31592   0.728844
55   1.42267   -0.10668   0.244363
56   0.442181   0.797033   0.668884
57   1.19838   0.075103   0.194508
58   1.07021   -0.590285   0.340841
59   0.698518   0.297703   0.882633
60   0.618413   0.452217   0.814743
61   1.27528   -0.43367   0.187866
62   1.15031   -0.0114914   0.499494
63   1.20478   0.329834   0.359843
64   1.25285   0.315523   0.316065
65   0.938834   -0.305571   0.278988
66   0.157006   0.229398   1.06114
67   1.03816   0.0521061   0.655838
68   1.28168   -0.0197887   0.438327
69   0.977285   0.755799   0.0852416
70   1.09584   -0.191144   0.111032
71   0.961264   0.375309   0.613091
72   0.269154   -0.712018   0.460104
73   1.07982   0.137113   0.619496
74   1.18235   -0.0101934   0.509566
75   0.358872   0.439797   0.479288
76   0.769011   -0.214585   0.860734
77   0.746581   0.502396   0.490398
78   1.11827   -0.240629   0.551514
79   1.24964   -0.124506   0.488456
80   1.2144   -0.169182   0.257906
81   0.765807   0.659881   0.605527
82   1.17274   0.215086   0.533527
83   0.554329   0.0979585   0.480397
84   0.660068   0.519797   0.693785
85   0.75299   -0.314127   0.686672
86   0.493449   0.646124   0.817018
87   0.695314   0.11183   0.941899
88   0.368484   -0.352649   0.997891
89   0.967672   -0.190352   0.360922
90   0.592779   -0.771872   0.635925
91   0.503061   0.210442   1.0272
92   0.980489   -0.0865713   0.743866
93   1.25605   -0.00862225   0.461002
94   1.03496   -0.0177623   0.682934
95   0.903588   -0.525397   0.125827
96   0.612005   0.0641156   0.81112
97   1.01253   -0.588223   0.344192
98   1.00612   -0.623513   0.330245
99   0.820278   0.461553   0.172976
100   0.50947   0.0550775   0.502754
101   0.839504   -0.00544946   0.550424
102   0.663272   0.00630387   0.417427
103   1.18556   -0.419717   0.39042
104   1.08302   -0.152855   0.645882
105   1.02855   0.362895   0.205468
106   0.704927   0.015532   0.929932
107   0.576758   0.358549   0.949717
108   1.45471   0.132153   0.126789
109   0.833095   0.439378   0.724977
110   0.663272   0.565525   0.700795
111   0.893975   0.655345   0.246454
112   1.19517   0.187238   0.340174
113   1.11186   0.145955   0.524687
114   1.26566   0.125166   0.368778
115   1.13109   -0.403135   0.451774
116   1.23042   -0.377341   0.253673
117   1.24964   0.0346561   0.423814
118   0.515878   -0.844875   0.56314
119   1.31373   0.0910737   0.412084
120   0.419752   0.80439   0.673779
121   1.34256   -0.0300251   0.163612
122   1.06059   -0.0628258   0.62956
123   1.18876   0.447005   0.337466
124   1.2144   0.0198206   0.518486
125   0.294788   0.109329   0.690884
126   0.589575   -0.261391   0.975196
127   0.676089   0.120432   0.864345
128   1.19197   -0.499222   0.264824
129   0.406935   -0.211442   0.518188
130   0.855525   -0.628063   0.448508
131   1.12788   0.0321571   0.597965
132   1.13109   -0.240607   0.270438
133   1.15672   0.0429743   0.594486
134   0.615209   0.777615   0.28711
135   0.618413   -0.138481   0.524229
136   0.275562   0.146659   0.719228
137   1.16313   -0.099226   0.551748
138   1.33616   0.20371   0.344676
139   0.823483   0.56481   0.592321
140   0.775419   -0.0435871   0.764789
141   1.18876   0.330097   0.154789
142   0.942038   0.430415   0.653577
143   0.44859   0.256594   1.02609
144   0.394118   -0.794813   0.557261
145   1.40344   -0.27576   0.122732
146   0.24352   0.368662   0.925382
147   0.253133   -0.245848   0.515741
148   0.980489   -0.34774   0.595922
149   0.810666   -0.444331   0.632064
150   1.11827   0.137917   0.380838
151   0.42616   -0.0723901   1.01413
152   1.39063   -0.00648838   0.321141
153   0.50947   -0.124109   1.03729
154   1.02855   -0.301215   0.580941
155   0.868342   0.822457   0.170419
156   1.01253   -0.368405   0.553617
157   0.496653   -0.0462892   0.671214
158   1.11827   0.176998   0.530486
159   0.201865   -0.0573172   0.98147
160   1.09584   -0.022494   0.362109
161   1.42587   -0.00641848   0.185394
162   0.762603   0.590702   0.588543
163   1.00612   -0.129887   0.702545
164   1.19517   0.41652   0.360638
165   0.541512   0.21222   0.999982
166   1.13429   0.174259   0.549075
167   0.464611   -0.219572   0.876889
168   0.961264   0.221565   0.589734
169   0.922813   -0.567868   0.398292
170   0.515878   -0.35976   0.895175
171   1.15352   0.016221   0.564957
172   1.08623   0.294796   0.588957
173   0.817074   0.230583   0.812542
174   1.18556   -0.0369282   0.537832
175   0.413343   -0.247378   0.85145
176   0.810666   0.696383   0.475943
177   1.40985   0.0714726   0.269886
178   1.19517   0.0879931   0.530942
179   1.18235   -0.318976   0.264228
180   0.291583   0.522855   0.647748
181   0.528695   0.443365   0.934886
182   0.929222   -0.103286   0.722068
183   0.615209   -0.691081   0.541759
184   1.34256   -0.195621   0.31713
185   1.11507   0.610157   0.165567
186   0.983693   0.39263   0.281402
187   1.05739   -0.0433667   0.652659
188   0.624821   -0.849716   0.451912
189   0.829891   0.51558   0.491082
190   0.615209   -0.47951   0.867652
191   1.08943   0.0209047   0.524829
192   0.512674   -0.396019   0.895363
193   1.03816   0.344094   0.500148
194   0.9132   -0.242379   0.653383
195   0.346055   0.111956   0.962827
196   1.26246   -0.213494   0.441672
197   1.067   -0.361621   0.294973
198   1.39063   -0.18438   0.170904
199   0.884363   -0.529826   0.623405
200   1.04457   0.187966   0.284606
201   0.974081   -0.208205   0.427451
202   0.9132   0.589008   0.539529
203   1.16633   0.130547   0.57392
204   0.560737   0.0108299   0.98448
205   0.605596   -0.27409   0.948549
206   1.35218   -0.0166981   0.10902
207   0.644047   -0.954691   0.168948
208   0.560737   0.763444   0.564237
209   0.775419   0.132479   0.680836
210   1.38422   0.202326   0.262962
211   0.647251   0.519508   0.821032
212   0.919609   -0.593881   0.458109
213   1.05098   -0.0536741   0.366512
214   1.29771   -0.344211   0.1152
215   1.27848   0.464272   0.0816089
216   0.93563   0.1701   0.763717
217   1.37781   0.081474   0.2879
218   1.04457   -0.200286   0.672841
219   0.717744   -0.697374   0.617089
220   1.02214   -0.340303   0.580547
221   0.817074   0.0607457   0.841501
222   0.38771   0.215768   0.324665
223   0.371689   1.00482   0.1649
224   1.05419   0.276599   0.427528
225   0.81387   0.362469   0.792116
226   0.733765   0.0597112   0.902743
227   0.890771   0.500754   0.646931
228   1.02855   -0.260985   0.363522
229   0.663272   -0.611795   0.706163
230   0.756194   -0.509459   0.441516
231   0.685701   0.0463897   0.937917
232   0.38771   -0.444882   0.93115
233   0.986897   -0.379317   0.644361
234   0.868342   0.408401   0.678865
235   1.00292   -0.451171   0.138618
236   1.12468   0.416071   0.415138
237   1.17274   -0.362715   0.342077
238   0.849116   -0.386536   0.675063
239   1.1439   -0.223164   0.526903
240   1.22721   0.382872   0.358246
241   0.762603   0.453202   0.5283
242   0.612005   0.196673   0.659949
243   1.08302   -0.483527   0.173727
244   0.647251   0.519656   0.784781
245   1.42587   0.176323   0.112557
246   0.666476   0.729491   0.35599
247   0.50947   0.133778   0.829065
248   1.26246   0.27876   0.40141
249   1.24003   -0.382998   0.0435406
250   1.00292   -0.0795706   0.583576
251   0.893975   -0.0991501   0.438384
252   0.708131   0.255554   0.895219
253   1.33936   0.0783641   0.233554
254   0.945243   0.468582   0.348753
255   0.906792   -0.298876   0.758028
256   0.560737   -0.400469   0.940409
257   1.20799   0.434004   0.192393
258   0.765807   0.0986843   0.422207
259   1.24323   0.221898   0.400216
260   1.14711   -0.351937   0.486274
261   0.522287   -0.0904854   1.03372
262   1.24964   0.340001   0.370834
263   0.560737   -0.111616   0.450878
264   0.278766   -0.727795   0.787971
265   1.40985   -0.188184   0.200862
266   0.788236   0.774767   0.44819
267   1.02535   0.375428   0.478847
268   1.26246   -0.305139   0.187263
269   1.26246   -0.156363   0.464394
270   0.589575   0.862142   0.525461
271   1.36499   -0.079832   0.194086
272   0.704927   0.0735411   0.471216
273   0.778624   -0.380089   0.811401
274   0.682497   0.046338   0.770908
275   0.788236   0.596226   0.629774
276   0.519082   -0.71177   0.656054
277   0.926017   -0.0844787   0.383361
278   1.34577   -0.202137   0.0334281
279   1.20158   0.0486288   0.472394
280   0.970876   -0.37661   0.462049
281   1.27848   0.0864148   0.217046
282   1.03816   -0.598044   0.194865
283   1.26566   -0.342546   0.316293
284   1.18876   -0.501127   0.117025
285   0.890771   -0.570089   0.157018
286   1.11186   0.424391   0.484895
287   1.06059   -0.210059   0.645379
288   1.40985   0.238316   0.166655
289   0.147394   0.782322   0.244418
290   0.807461   -0.289027   0.833571
291   0.87475   0.305729   0.30134
292   0.884363   0.303933   0.74578
293   0.525491   0.547428   0.677299
294   1.08302   0.297669   0.448369
295   1.34577   0.135448   0.360637
296   0.621617   -0.12202   0.679684
297   1.02535   0.0662418   0.459124
298   1.3682   0.226683   0.2281
299   0.884363   -0.219317   0.697384
300   1.26887   0.056144   0.463702
301   1.40665   0.0318794   0.288852
302   1.3682   -0.315349   0.135097
303   0.887567   0.0974103   0.647351
304   0.958059   0.0829593   0.63722
305   0.945243   0.48523   0.387889
306   0.688906   -0.0623286   0.868278
307   0.480632   -0.306291   0.851715
308   1.34577   0.34191   0.0648194
309   1.15992   -0.130649   0.320582
310   0.676089   -0.254437   0.737083
311   0.85232   0.470203   0.613679
312   0.624821   -0.786356   0.568495
313   1.43549   -0.172996   0.15308
314   1.30091   0.0108855   0.440572
315   1.17274   -0.491132   0.0866225
316   0.599188   0.308919   0.955938
317   1.32975   0.107302   0.38098
318   0.272358   0.0992413   1.05904
319   1.31052   0.234323   0.34975
320   0.961264   -0.0849222   0.654358
321   0.355668   -0.216653   1.0748
322   0.733765   -0.0103127   0.696727
323   0.836299   0.112236   0.858042
324   0.330034   0.428527   0.887284
325   1.24644   0.415213   0.268743
326   1.07341   0.441806   0.515428
327   0.794645   0.162104   0.635135
328   0.845912   0.382674   0.629585
329   1.11827   0.353223   0.512749
330   0.406935   -0.859331   0.5544
331   0.839504   -0.803032   0.315861
332   0.986897   0.368187   0.525657
333   1.31052   -0.239961   0.294787
334   1.03816   -0.424842   0.375475
335   0.919609   0.0417319   0.804553
336   1.01574   -0.407887   0.550401
337   1.08623   0.263725   0.37408
338   0.688906   0.631944   0.555455
339   1.00292   -0.625643   0.34835
340   1.34897   -0.110051   0.32402
341   0.54792   -0.506251   0.895333
342   1.13429   0.0884242   0.469193
343   1.13109   -0.375626   0.294465
344   0.615209   0.201889   0.834667
345   0.871546   0.268216   0.786969
346   1.1407   0.204802   0.262726
347   0.676089   -0.357096   0.802137
348   0.413343   0.972838   0.415014
349   0.749786   0.00105014   0.807796
350   0.775419   -0.412238   0.495976
351   0.974081   0.33765   0.583892
352   0.615209   0.318296   0.921446
353   0.871546   -0.518157   0.619133
354   0.711335   0.285014   0.677437
355   0.685701   -0.264354   0.908823
356   0.890771   -0.285529   0.527679
357   0.81387   -0.0945882   0.791911
358   0.765807   -0.138313   0.883894
359   1.18235   -0.175851   0.525755
360   0.999714   -0.245221   0.668686
361   1.08302   -0.477412   0.471766
362   1.12788   0.183299   0.323914
363   0.496653   -0.690351   0.7701
364   0.317217   -0.454307   0.576881
365   0.807461   0.731252   0.46278
366   0.9132   0.29986   0.752918
367   0.775419   -0.587382   0.651349
368   1.05098   0.217186   0.042012
369   0.0640842   -0.713562   0.861009
370   0.634434   -0.145371   0.6168
371   0.480632   0.106081   1.04913
372   1.35859   0.163551   0.321335
373   0.945243   -0.600957   0.21025
374   1.07982   0.347797   0.429969
375   1.48355   -0.0981514   0.00787101
376   1.067   -0.654006   0.20505
377   0.759398   -0.479641   0.7204
378   0.711335   -0.137915   0.920324
379   0.75299   0.35254   0.615692
380   0.32683   -0.421732   1.02562
381   1.12147   -0.19704   0.487701
382   0.79144   -0.0887125   0.154271
383   1.07341   -0.601748   0.151862
384   0.932426   -0.735798   0.299752
385   0.897179   0.453496   0.592183
386   1.10866   0.548353   0.321591
387   1.45471   0.114673   0.129238
388   1.067   0.124529   0.28876
389   1.01894   -0.074911   0.710864
390   0.656864   -0.595664   0.707418
391   1.27528   0.312168   0.327736
392   0.877954   0.570193   0.555301
393   1.27848   0.113599   0.373622
394   1.29771   0.0916617   0.288188
395   0.900384   0.0465556   0.818318
396   1.42908   -0.0874926   0.212645
397   1.1439   0.214583   0.515811
398   1.28809   0.013292   0.182855
399   0.788236   -0.668085   0.574705
400   1.01253   0.153411   0.644385
401   0.628026   0.761478   0.505768
402   0.756194   -0.574331   0.16027
403   1.26887   -0.001785   0.171625
404   0.932426   0.338704   0.600303
405   0.525491   0.7159   0.746416
406   0.477428   0.156842   1.02887
407   0.887567   -0.598764   0.570645
408   1.00612   0.278375   0.682434
409   0.929222   0.0352521   0.58746
410   1.03816   -0.0903952   0.248705
411   1.35538   -0.177539   0.261433
412   0.688906   0.0980324   0.45573
413   0.429364   0.626055   0.872928
414   0.762603   -0.336557   0.827108
415   0.788236   0.051909   0.530413
416   1.33295   -0.0754269   0.358297
417   0.746581   -0.498465   0.527094
418   1.08623   0.12843   0.234343
419   1.00933   -0.2818   0.17738
420   1.27848   0.173873   0.15733
421   0.355668   -0.779341   0.472118
422   1.32975   0.253469   0.177713
423   1.04778   0.507352   0.483386
424   0.999714   0.684001   0.28662
425   1.16954   0.0607011   0.556673
426   0.79144   -0.689347   0.489406
427   0.797849   -0.121002   0.8496
428   0.714539   -0.703645   0.621124
429   1.15992   0.171803   0.541729
430   0.579962   0.61339   0.170923
431   1.36499   0.194952   0.290002
432   0.810666   0.404035   0.691107
433   1.28489   -0.130987   0.421913
434   1.16313   -0.272066   0.243604
435   0.656864   0.542878   0.805253
436   0.663272   -0.133185   0.782456
437   0.461407   -0.229736   0.93421
438   0.833095   0.581234   0.248305
439   0.503061   -0.0533031   0.948649
440   0.358872   -0.327531   0.976507
441   1.19197   -0.41702   0.341811
442   0.704927   -0.181752   0.854695
443   0.990102   -0.730612   0.10251
444   1.30411   0.0440551   0.296439
445   0.801053   -0.567082   0.516977
446   0.836299   -0.705063   0.44325
447   1.23042   -0.515135   0.0993651
448   0.942038   0.0892007   0.633179
449   0.458202   0.0124514   1.06415
450   0.967672   0.0797981   0.567681
451   0.24352   0.00520869   0.723411
452   1.08623   0.0227583   0.450085
453   0.877954   -0.110246   0.817176
454   0.954855   0.469701   0.620907
455   0.512674   0.666507   0.72596
456   0.50947   1.01669   0.193872
457   0.704927   0.41616   0.851981
458   1.15352   0.566271   0.0612561
459   0.724152   0.0343745   0.126877
460   1.21119   0.407162   0.186456
461   1.27207   0.179345   0.124298
462   1.39383   0.0370211   0.277794
463   1.43228   -0.0622657   0.239823
464   0.804257   -0.466765   0.484505
465   1.1407   -0.203689   0.342364
466   0.720948   -0.551305   0.661013
467   0.903588   -0.335506   0.742876
468   1.15352   0.178032   0.466427
469   1.02214   -0.439715   0.256944
470   0.820278   0.255758   0.838026
471   0.621617   0.469697   0.795989
472   0.653659   -0.554604   0.445968
473   1.04778   -0.251099   0.505886
474   0.63123   -0.257561   0.494428
475   0.240316   1.08417   0.299487
476   1.17274   0.248818   0.414473
477   0.909996   -0.659099   0.230591
478   1.01574   0.396719   0.3878
479   0.650455   0.442658   0.584396
480   0.970876   -0.369147   0.547273
481   0.759398   0.149168   0.110439
482   1.28809   0.279013   0.230313
483   1.22721   0.142515   0.497864
484   1.33295   -0.35536   0.181466
485   1.19838   0.363956   0.419422
486   1.31373   -0.263293   0.255682
487   0.829891   0.289871   0.656536
488   0.727356   -0.726488   0.588004
489   0.330034   0.883839   0.556799
